country,year,indicator,sales_value,gdp,gdp_unit,sector_type
BG,2018,G47_NF_HLTH,65.7,44286.5,CLV10_MEUR,Essential retail
BG,2019,G47,73.16666666666667,45966.4,CLV10_MEUR,Total retail
BG,2019,G47_NF_HLTH,84.2,45966.4,CLV10_MEUR,Essential retail
BG,2020,G47,73.13333333333334,44526.2,CLV10_MEUR,Total retail
BG,2020,G47_NF_HLTH,81.96666666666667,44526.2,CLV10_MEUR,Essential retail
BG,2021,G47,85.69999999999999,48011.7,CLV10_MEUR,Total retail
BG,2021,G47_NF_HLTH,99.13333333333333,48011.7,CLV10_MEUR,Essential retail
BG,2022,G47,97.15,49972.5,CLV10_MEUR,Total retail
BG,2023,G47,99.76666666666668,50812.8,CLV10_MEUR,Total retail
BG,2024,G47,68.5,52533.9,CLV10_MEUR,Total retail
BG,2025,G47,73.275,54160.5,CLV10_MEUR,Total retail
CH,2016,G47,96.46666666666664,510306.7,CLV10_MEUR,Total retail
CH,2016,G476,95.45,510306.7,CLV10_MEUR,Discretionary
CH,2017,G47,73.55,517554.8,CLV10_MEUR,Total retail
CH,2017,G476,97.75,517554.8,CLV10_MEUR,Discretionary
CH,2018,G47,65.36666666666666,534776.1,CLV10_MEUR,Total retail
CH,2018,G476,96.8,534776.1,CLV10_MEUR,Discretionary
CH,2019,G47,66.01666666666667,540740.6,CLV10_MEUR,Total retail
CH,2019,G476,76.92,540740.6,CLV10_MEUR,Discretionary
CH,2020,G47,66.66666666666667,528545.5,CLV10_MEUR,Total retail
CH,2020,G476,90.85,528545.5,CLV10_MEUR,Discretionary
CH,2021,G47,70.7,561189.6,CLV10_MEUR,Total retail
CH,2021,G476,66.06666666666666,561189.6,CLV10_MEUR,Discretionary
CH,2022,G47,84.02000000000001,581023.8,CLV10_MEUR,Total retail
CH,2022,G476,71.31666666666666,581023.8,CLV10_MEUR,Discretionary
CH,2023,G47,83.14,585820.5,CLV10_MEUR,Total retail
CH,2023,G476,101.55,585820.5,CLV10_MEUR,Discretionary
CH,2024,G47,50.575,593965.3,CLV10_MEUR,Total retail
CH,2024,G476,104.2,593965.3,CLV10_MEUR,Discretionary
CH,2025,G47,51.6,601687.4,CLV10_MEUR,Total retail
CH,2025,G476,54.475,601687.4,CLV10_MEUR,Discretionary
CY,2016,G47,70.4875,19081.4,CLV10_MEUR,Total retail
CY,2017,G47,75.075,20178.7,CLV10_MEUR,Total retail
CY,2018,G47,70.78333333333333,21444.3,CLV10_MEUR,Total retail
CY,2019,G47,72.06666666666668,22704.3,CLV10_MEUR,Total retail
CY,2020,G47,104.075,21973.0,CLV10_MEUR,Total retail
CY,2021,G47,78.48333333333333,24477.4,CLV10_MEUR,Total retail
CY,2022,G47,83.56666666666666,26616.4,CLV10_MEUR,Total retail
CY,2023,G47,89.60000000000001,27580.0,CLV10_MEUR,Total retail
CY,2024,G47,63.825,28666.9,CLV10_MEUR,Total retail
CY,2025,G47,69.45,29748.6,CLV10_MEUR,Total retail
CZ,2016,G47,75.7875,177253.0,CLV10_MEUR,Total retail
CZ,2016,G476,66.10000000000001,177253.0,CLV10_MEUR,Discretionary
CZ,2016,G47_NF_HLTH,72.86666666666666,177253.0,CLV10_MEUR,Essential retail
CZ,2017,G47,81.6875,186423.3,CLV10_MEUR,Total retail
CZ,2017,G476,72.03333333333335,186423.3,CLV10_MEUR,Discretionary
CZ,2017,G47_NF_HLTH,76.35,186423.3,CLV10_MEUR,Essential retail
CZ,2018,G47,71.18333333333334,191699.7,CLV10_MEUR,Total retail
CZ,2018,G476,76.89999999999999,191699.7,CLV10_MEUR,Discretionary
CZ,2018,G47_NF_HLTH,59.5,191699.7,CLV10_MEUR,Essential retail
CZ,2019,G47,74.51666666666667,198535.3,CLV10_MEUR,Total retail
CZ,2019,G476,82.60000000000001,198535.3,CLV10_MEUR,Discretionary
CZ,2019,G47_NF_HLTH,61.975,198535.3,CLV10_MEUR,Essential retail
CZ,2020,G47,108.6,188003.2,CLV10_MEUR,Total retail
CZ,2020,G476,108.8,188003.2,CLV10_MEUR,Discretionary
CZ,2020,G47_NF_HLTH,62.075,188003.2,CLV10_MEUR,Essential retail
CZ,2021,G47,78.89999999999999,195577.9,CLV10_MEUR,Total retail
CZ,2021,G476,78.95,195577.9,CLV10_MEUR,Discretionary
CZ,2022,G47,97.72,201146.3,CLV10_MEUR,Total retail
CZ,2022,G476,96.26,201146.3,CLV10_MEUR,Discretionary
CZ,2023,G47,94.9,201242.0,CLV10_MEUR,Total retail
CZ,2023,G476,95.14,201242.0,CLV10_MEUR,Discretionary
CZ,2024,G47,55.8,203760.2,CLV10_MEUR,Total retail
CZ,2024,G476,68.23333333333333,203760.2,CLV10_MEUR,Discretionary
CZ,2025,G47,57.25,209018.2,CLV10_MEUR,Total retail
CZ,2025,G476,54.0,209018.2,CLV10_MEUR,Discretionary
DE,2016,G47,75.2625,2906299.4,CLV10_MEUR,Total retail
DE,2016,G476,82.71428571428571,2906299.4,CLV10_MEUR,Discretionary
DE,2016,G47_NF_HLTH,74.3,2906299.4,CLV10_MEUR,Essential retail
DE,2017,G47,78.9125,2987615.0,CLV10_MEUR,Total retail
DE,2017,G476,75.25,2987615.0,CLV10_MEUR,Discretionary
DE,2017,G47_NF_HLTH,76.33333333333333,2987615.0,CLV10_MEUR,Essential retail
DE,2018,G47,67.26666666666667,3021545.2,CLV10_MEUR,Total retail
DE,2018,G476,67.21666666666667,3021545.2,CLV10_MEUR,Discretionary
DE,2018,G47_NF_HLTH,57.4,3021545.2,CLV10_MEUR,Essential retail
DE,2019,G47,70.08333333333333,3051087.9,CLV10_MEUR,Total retail
DE,2019,G476,72.75,3051087.9,CLV10_MEUR,Discretionary
DE,2019,G47_NF_HLTH,60.725,3051087.9,CLV10_MEUR,Essential retail
DE,2020,G47,74.0,2925019.6,CLV10_MEUR,Total retail
DE,2020,G476,75.25,2925019.6,CLV10_MEUR,Discretionary
DE,2020,G47_NF_HLTH,61.175,2925019.6,CLV10_MEUR,Essential retail
DE,2021,G47,74.13333333333334,3039387.8,CLV10_MEUR,Total retail
DE,2021,G476,107.95,3039387.8,CLV10_MEUR,Discretionary
DE,2022,G47,92.98,3094378.2,CLV10_MEUR,Total retail
DE,2022,G476,82.23333333333333,3094378.2,CLV10_MEUR,Discretionary
DE,2023,G47,91.8,3067468.0,CLV10_MEUR,Total retail
DE,2023,G476,81.61666666666666,3067468.0,CLV10_MEUR,Discretionary
DE,2024,G47,53.425,3052257.9,CLV10_MEUR,Total retail
DE,2024,G476,107.2,3052257.9,CLV10_MEUR,Discretionary
DE,2025,G47,56.4,3058985.5,CLV10_MEUR,Total retail
DE,2025,G476,104.4,3058985.5,CLV10_MEUR,Discretionary
DK,2016,G47,83.35714285714286,266512.4,CLV10_MEUR,Total retail
DK,2016,G476,134.10000000000002,266512.4,CLV10_MEUR,Discretionary
DK,2016,G47_NF_HLTH,72.5625,266512.4,CLV10_MEUR,Essential retail
DK,2017,G47,73.625,274658.3,CLV10_MEUR,Total retail
DK,2017,G476,129.5,274658.3,CLV10_MEUR,Discretionary
DK,2017,G47_NF_HLTH,74.775,274658.3,CLV10_MEUR,Essential retail
DK,2018,G47,65.73333333333333,279767.0,CLV10_MEUR,Total retail
DK,2018,G476,66.45,279767.0,CLV10_MEUR,Discretionary
DK,2018,G47_NF_HLTH,67.26666666666667,279767.0,CLV10_MEUR,Essential retail
DK,2019,G47,78.7,284554.9,CLV10_MEUR,Total retail
DK,2019,G476,102.0,284554.9,CLV10_MEUR,Discretionary
