country,year,gdp_per_capita,unit
EA20,2017,10497018.0,CLV10_MEUR
EA20,2018,10683755.5,CLV10_MEUR
EA20,2019,10856960.3,CLV10_MEUR
EA20,2020,10202921.6,CLV10_MEUR
EA20,2021,10856677.6,CLV10_MEUR
EA20,2022,11252070.9,CLV10_MEUR
EA20,2023,11300221.8,CLV10_MEUR
EA20,2024,11402670.4,CLV10_MEUR
EA20,2025,11561274.8,CLV10_MEUR
EA21,2016,10271113.0,CLV10_MEUR
EA21,2017,10540370.5,CLV10_MEUR
EA21,2018,10728146.3,CLV10_MEUR
EA21,2019,10903176.3,CLV10_MEUR
EA21,2020,10247934.4,CLV10_MEUR
EA21,2021,10905345.8,CLV10_MEUR
EA21,2022,11302782.5,CLV10_MEUR
EA21,2023,11352031.3,CLV10_MEUR
EA21,2024,11456753.2,CLV10_MEUR
EA21,2025,11617444.5,CLV10_MEUR
EE,2016,18153.0,CLV10_MEUR
EE,2017,19175.9,CLV10_MEUR
EE,2018,19885.4,CLV10_MEUR
EE,2019,20626.4,CLV10_MEUR
EE,2020,20031.6,CLV10_MEUR
EE,2021,21685.2,CLV10_MEUR
EE,2022,21419.3,CLV10_MEUR
EE,2023,20831.5,CLV10_MEUR
EE,2024,20812.7,CLV10_MEUR
EE,2025,20934.3,CLV10_MEUR
EL,2016,181479.1,CLV10_MEUR
EL,2017,184152.5,CLV10_MEUR
EL,2018,187954.7,CLV10_MEUR
EL,2019,192234.8,CLV10_MEUR
EL,2020,174556.4,CLV10_MEUR
EL,2021,189663.4,CLV10_MEUR
EL,2022,200136.6,CLV10_MEUR
EL,2023,204411.3,CLV10_MEUR
EL,2024,208676.5,CLV10_MEUR
EL,2025,213002.5,CLV10_MEUR
ES,2016,1114136.4,CLV10_MEUR
ES,2017,1146402.2,CLV10_MEUR
ES,2018,1173863.3,CLV10_MEUR
ES,2019,1196884.8,CLV10_MEUR
ES,2020,1065944.8,CLV10_MEUR
ES,2021,1137183.4,CLV10_MEUR
ES,2022,1209625.6,CLV10_MEUR
ES,2023,1239392.8,CLV10_MEUR
